filename,title,date,hour,lang,ref,presenter,length,time,category,session,session-link,slides
2-invisible,Not Always Invisible - Finding the Data About Marginalized and Underrepresented Populations in Canada,2021-11-22,15:00 ET,en,invisible,"[Kevin Manual, Jeremy Buhler]",,synchronous,presentation,2021,,
1-secondary,Secondary Data Speed Dating,2021-11-26,13:00 ET,en,secondary,[Julie Marcoux],,synchronous,presentation,2021,,
2-portage,Portage's Access-Limited Data Discovery Working Group,2021-11-23,15:00 ET,en,portage,"[Sarah Rutley, Kevin Read, Amber Leahy, Julie Shi, Grant Gibson]",,synchronous,presentation,2021,,
1-historical,Historical Census Project,2021-11-24,13:00 ET,en,historical,"[Leanne Trimble, Susan Mowers]",,synchronous,presentation,2021,,
1-update,DLI Updates,2021-11-22,13:00 ET,en,update,"[Arden Kozak, Jacquline Tebbens]",,synchronous,presentation,2021,,
2-lightning,Lightning Talks,2021-11-25,15:00 ET,en,lightning,[TBD],,synchronous,presentation,2021,,
1-subjecta,Subject Matter 1,2021-11-23,13:00 ET,en,subjecta,[TBD],,synchronous,presentation,2021,,
1-subjectb,Subject Matter 2,2021-11-25,13:00 ET,en,subjectb,[TBD],,synchronous,presentation,2021,,
2-crcdn,CRCDN,2021-11-24,15:00 ET,en,crcdn,[TBD],,synchronous,presentation,2021,,
2-discussion,Discussion,2021-11-26,15:00 ET,en,discussion,"[Arden Kozak, Jacquline Tebbens]",,synchronous,presentation,2021,,